name,latitude,longitude,road_type
Langs Garden Road,13.0807383,80.26520005,secondary
EVR Periyar Salai,13.080791778879224,80.26605160311449,primary
EVK Sampath Salai,13.080242750000002,80.26280525,tertiary
EVR Periyar Salai,13.080425850000001,80.26337835000001,primary
EVK Sampath Salai,13.081620872550026,80.26243482289513,tertiary
Ritherdon Road,13.07937505,80.25878125000001,secondary
Ritherdon Road,13.080400098321718,80.25868329793293,secondary
EVR Periyar Salai,13.079801288252563,80.260791857726,primary
Raja Annamalai Road,13.0789379,80.2546906,primary
Raja Annamalai Road,13.080234172492695,80.25471319542974,primary
EVR Periyar Salai,13.079093959491042,80.25564118021093,primary
EVR Periyar Salai,13.078921465532533,80.2539418984029,primary
Gengu Reddy Road,13.0788294,80.25169059999999,secondary
EVR Periyar Salai,13.07888775,80.25180069999999,primary
EVR Periyar Salai,13.078865489463311,80.25034552639714,primary
Vasu Street,13.07741095,80.24065590000001,residential
EVR Periyar Salai,13.077347549999997,80.24066245,primary
EVR Periyar Salai,13.076697665318541,80.23805964633038,primary
Taylors Road,13.076848413580091,80.23802793221425,tertiary
New Avadi Road,13.07663985,80.23377364999999,secondary
New Avadi Road,13.075800300000001,80.23390624999999,secondary_link
EVR Periyar Salai,13.07601412592799,80.23463244456552,primary
EVR Periyar Salai,13.07402321740483,80.22831675036646,primary
EVR Periyar Salai,13.0739559,80.2247368,primary
EVR Periyar Salai,13.07701414096603,80.21120706714248,primary
EVR Periyar Salai,13.076965137124063,80.20663657891124,primary
EVR Periyar Salai,13.076699640807908,80.20444231242122,primary
Padikuppam Causeway,13.07418285,80.19111305,residential
EVR Periyar Salai,13.074024254209691,80.19097539630283,primary
EVR Periyar Salai,13.071357630134692,80.18569246918115,primary
Perumal Koil Street,13.071056417884346,80.18622748284874,tertiary
EVR Periyar Salai,13.064226622928317,80.17095473701441,primary
General Hospital Road,13.082261849999998,80.28138999999999,primary
Muthuswamy Road,13.08232335,80.28166039999999,primary
Anna Salai (Mount Road),13.011664540315724,80.21906123606217,primary
U turn in Guindy,13.0123635,80.221172,primary
Anna Salai (Mount Road),13.012552928565176,80.22140509982395,primary
Velachery Road,13.015707349999998,80.2253481,secondary
Towards Adayar,13.01529587359275,80.22571871511971,primary
Anna Salai (Mount Road),13.0281539,80.23553385,primary
Anna Salai (Mount Road),13.03117975,80.2397069,primary
Anna Salai (Mount Road),13.034478534949258,80.2450784782248,primary
VV Koil Street,13.048787650000001,80.24998715000001,residential
Anna Salai (Mount Road),13.048530282137596,80.24965961405573,primary
Anna Salai (Mount Road),13.056212768754111,80.25613559560371,primary
Anna Salai (Mount Road),13.057244556676933,80.25717759934638,primary
Pathari Road,13.05904353909642,80.25707554261899,tertiary
Anna Salai (Mount Road),13.059927828744705,80.26029121471791,primary
Anna Salai (Mount Road),13.068274198986094,80.27149794397891,primary
Anna Salai (Mount Road),13.07172385,80.27434425,primary
Swami Sivananda Salai,13.071742749999997,80.2744563,secondary
Anna Salai (Mount Road),13.071918599999998,80.2744988,primary
Ramakrishna Link Road,13.11972005,80.19944335,tertiary
Jawaharlal Nehru Road (100 Feet Road),13.119292594375926,80.19890200107073,primary
Jawaharlal Nehru Road (100 Feet Road),13.080804050000001,80.19850195000001,primary
Pillayar Koil Street,13.080447987002055,80.19828783041088,residential
Jawaharlal Nehru Road (100 Feet Road),13.076760900000002,80.1989818,primary
