name,latitude,longitude,road_type,status
Langs Garden Road,13.0807383,80.26520005,secondary,Safe
EVR Periyar Salai,13.080791778879224,80.26605160311449,primary,Blocked
EVK Sampath Salai,13.080242750000002,80.26280525,tertiary,Safe
EVR Periyar Salai,13.08042585,80.26337835000001,primary,Safe
EVK Sampath Salai,13.081620872550026,80.26243482289513,tertiary,Safe
Ritherdon Road,13.07937505,80.25878125000001,secondary,Safe
Ritherdon Road,13.080400098321718,80.25868329793293,secondary,Safe
EVR Periyar Salai,13.079801288252565,80.260791857726,primary,Safe
Raja Annamalai Road,13.0789379,80.2546906,primary,Safe
Raja Annamalai Road,13.080234172492696,80.25471319542974,primary,Safe
EVR Periyar Salai,13.079093959491042,80.25564118021093,primary,Safe
EVR Periyar Salai,13.078921465532533,80.2539418984029,primary,Safe
Gengu Reddy Road,13.0788294,80.25169059999999,secondary,Safe
EVR Periyar Salai,13.07888775,80.25180069999999,primary,Safe
EVR Periyar Salai,13.078865489463311,80.25034552639714,primary,Safe
Vasu Street,13.07741095,80.24065590000001,residential,Safe
EVR Periyar Salai,13.077347549999995,80.24066245,primary,Safe
EVR Periyar Salai,13.07669766531854,80.23805964633038,primary,Safe
Taylors Road,13.076848413580093,80.23802793221425,tertiary,Safe
New Avadi Road,13.07663985,80.23377364999999,secondary,Safe
New Avadi Road,13.0758003,80.23390624999999,secondary_link,Safe
EVR Periyar Salai,13.07601412592799,80.23463244456552,primary,Safe
EVR Periyar Salai,13.07402321740483,80.22831675036646,primary,Safe
EVR Periyar Salai,13.0739559,80.2247368,primary,Safe
EVR Periyar Salai,13.07701414096603,80.21120706714248,primary,Safe
EVR Periyar Salai,13.076965137124064,80.20663657891124,primary,Safe
EVR Periyar Salai,13.076699640807908,80.20444231242122,primary,Safe
Padikuppam Causeway,13.07418285,80.19111305,residential,Safe
EVR Periyar Salai,13.074024254209691,80.19097539630283,primary,Safe
EVR Periyar Salai,13.071357630134692,80.18569246918115,primary,Safe
Perumal Koil Street,13.071056417884346,80.18622748284874,tertiary,Safe
EVR Periyar Salai,13.064226622928317,80.17095473701441,primary,Safe
General Hospital Road,13.082261849999998,80.28138999999999,primary,Safe
Muthuswamy Road,13.08232335,80.28166039999999,primary,Safe
Anna Salai (Mount Road),13.011664540315724,80.21906123606217,primary,Safe
U turn in Guindy,13.0123635,80.221172,primary,Safe
Anna Salai (Mount Road),13.012552928565176,80.22140509982395,primary,Safe
Velachery Road,13.015707349999998,80.2253481,secondary,Safe
Towards Adayar,13.01529587359275,80.22571871511971,primary,Safe
Anna Salai (Mount Road),13.0281539,80.23553385,primary,Safe
Anna Salai (Mount Road),13.03117975,80.2397069,primary,Safe
Anna Salai (Mount Road),13.034478534949258,80.2450784782248,primary,Safe
VV Koil Street,13.04878765,80.24998715000001,residential,Safe
Anna Salai (Mount Road),13.048530282137596,80.24965961405573,primary,Safe
Anna Salai (Mount Road),13.056212768754111,80.25613559560371,primary,Safe
Anna Salai (Mount Road),13.057244556676933,80.25717759934638,primary,Safe
Pathari Road,13.05904353909642,80.25707554261899,tertiary,Safe
Anna Salai (Mount Road),13.059927828744703,80.26029121471791,primary,Safe
Anna Salai (Mount Road),13.068274198986094,80.27149794397891,primary,Safe
Anna Salai (Mount Road),13.07172385,80.27434425,primary,Safe
Swami Sivananda Salai,13.071742749999997,80.2744563,secondary,Safe
Anna Salai (Mount Road),13.071918599999998,80.2744988,primary,Safe
Ramakrishna Link Road,13.11972005,80.19944335,tertiary,Safe
Jawaharlal Nehru Road (100 Feet Road),13.119292594375926,80.19890200107073,primary,Safe
Jawaharlal Nehru Road (100 Feet Road),13.08080405,80.19850195000001,primary,Safe
Pillayar Koil Street,13.080447987002056,80.19828783041088,residential,Safe
Jawaharlal Nehru Road (100 Feet Road),13.076760900000002,80.1989818,primary,Safe
EVR Periyar Salai Flyover Ramp,13.076439277321889,80.1983978400137,primary_link,Safe
Jawaharlal Nehru Road (100 Feet Road),13.0756699,80.19905854999999,primary,Safe
Jawaharlal Nehru Road (100 Feet Road),13.05013,80.21189135,tertiary,Safe
NSK Salai,13.04996695,80.21203535,primary,Safe
10th Avenue,13.034667810889028,80.21342505168555,tertiary,Safe
Inner Ring Road,13.03506985,80.21055390000001,primary,Safe
"1st Street, Balaji Nagar",13.02232275,80.2058786,residential,Safe
Inner Ring Road,13.022603202139916,80.2063872871488,primary,Safe
Inner Ring Road,13.020717234895978,80.20628481976145,primary,Safe
Pillaiyar Koil 1st Street,13.01992785970584,80.2059728982753,residential,Safe
Inner Ring Road,13.0191831,80.20613065,primary,Safe
Aovaiyaar Street,13.01906685,80.2058102,residential,Safe
Mount - Poonamallee - Avadi Road,13.0360685,80.1535722,primary,Blocked
Mount Poonamallee Highway,13.0344488,80.15738195,tertiary,Blocked
Mount - Poonamallee - Avadi Road,13.0146512,80.19315915,primary,Safe
Srikrishna Colony,13.015510987184255,80.19311475016083,residential,Safe
Eldams Road,13.038063449999996,80.2567191,secondary,Safe
Eldams Road,13.03817355122668,80.25570725139377,secondary,Safe
Mowbrays Road,13.038460647119797,80.25689742556766,secondary,Safe
Anna Salai (Mount Road),13.038823325499797,80.24691915853512,primary,Safe
TTK Road,13.0288227,80.2497942,secondary,Safe
Adyar Gate Club Road,13.028317715366756,80.24939328269593,tertiary,Safe
TTK 1st Cross,13.0325148,80.2520743,tertiary,Safe
T T Krishnamachari Road,13.03251785,80.25254525,secondary,Safe
TTK Road,13.044175047845588,80.25974181677347,secondary,Safe
