name,lat,lon
Anna University Shelter,13.0109,80.2353
Loyola College Shelter,13.0621,80.2337
Marina Beach Relief Camp,13.0500,80.2824
Velachery School Shelter,12.9791,80.2212
T Nagar Community Hall,13.0418,80.2341
Adyar Government School Shelter,13.0067,80.2573
Besant Nagar Community Hall,13.0007,80.2669
Perungudi Relief Shelter,12.9653,80.2446
Guindy Government School Shelter,13.0105,80.2207
Saidapet Corporation School Shelter,13.0230,80.2209
Ashok Nagar Shelter,13.0351,80.2123
Kodambakkam Shelter,13.0526,80.2265
Anna Nagar Community Hall,13.0878,80.2102
Villivakkam Relief Camp,13.1106,80.2065
Ambattur Shelter,13.1143,80.1548
Porur Community Hall Shelter,13.0352,80.1589
Tambaram Relief Camp,12.9249,80.1000
Chromepet Shelter,12.9516,80.1403
Medavakkam Shelter,12.9184,80.1920
Sholinganallur Shelter,12.9010,80.2279
Thiruvanmiyur Shelter,12.9830,80.2594
Taramani Shelter,12.9856,80.2424
Mylapore Shelter,13.0339,80.2695
Royapettah Shelter,13.0553,80.2632
Egmore Relief Camp,13.0732,80.2609
Nungambakkam Community Hall,13.0604,80.2425
Chetpet School Shelter,13.0715,80.2410
Kilpauk Shelter,13.0825,80.2356
Purasawalkam Shelter,13.0902,80.2554
Perambur Shelter,13.1060,80.2465
Washermanpet Relief Camp,13.1148,80.2840
Royapuram Shelter,13.1131,80.2950
Tondiarpet Shelter,13.1373,80.2870
Madhavaram Shelter,13.1485,80.2303
Manali Shelter,13.1700,80.2700
Red Hills Shelter,13.1850,80.2000
Kolathur Shelter,13.1245,80.2150
Ayanavaram Shelter,13.0980,80.2320
Koyambedu Shelter,13.0692,80.1940
Vadapalani Shelter,13.0503,80.2120
Saligramam Shelter,13.0545,80.2060
Virugambakkam Shelter,13.0498,80.1925
Valasaravakkam Shelter,13.0432,80.1748
Ramapuram Shelter,13.0317,80.1840
Nandambakkam Shelter,13.0224,80.1835
St Thomas Mount Shelter,13.0033,80.1986
Pallavaram Shelter,12.9679,80.1491
Keelkattalai Shelter,12.9560,80.1990
Madipakkam Shelter,12.9647,80.1986
Ullagaram Shelter,12.9634,80.2040
Pallikaranai Shelter,12.9350,80.2150
Karapakkam Shelter,12.9132,80.2290
Injambakkam Shelter,12.9160,80.2505
Neelankarai Shelter,12.9490,80.2585
Kottivakkam Shelter,12.9685,80.2590
Palavakkam Shelter,12.9600,80.2550
Mandaveli Shelter,13.0275,80.2662
Santhome Shelter,13.0316,80.2796
Triplicane Shelter,13.0585,80.2756
Chepauk Shelter,13.0637,80.2793
Parrys Corner Shelter,13.0895,80.2890
George Town Shelter,13.0922,80.2853
Mint Street Shelter,13.0952,80.2845
Broadway Shelter,13.0870,80.2855
Fort Area Shelter,13.0827,80.2870
Park Town Shelter,13.0812,80.2755
Central Station Shelter,13.0827,80.2750
Vepery Shelter,13.0878,80.2600
Choolai Shelter,13.0910,80.2635
Otteri Shelter,13.0985,80.2610
Periyamet Shelter,13.0848,80.2680
Chintadripet Shelter,13.0733,80.2695
Mount Road Shelter,13.0600,80.2640
LIC Building Shelter,13.0643,80.2670
Thousand Lights Shelter,13.0588,80.2580
Gopalapuram Shelter,13.0508,80.2582
Alwarpet Shelter,13.0335,80.2537
RA Puram Shelter,13.0225,80.2652
Abhiramapuram Shelter,13.0312,80.2521
Kotturpuram Shelter,13.0154,80.2417
Little Mount Shelter,13.0140,80.2200
Ekkaduthangal Shelter,13.0167,80.2065
SIDCO Nagar Shelter,13.1010,80.1960
Korattur Shelter,13.1110,80.1830
Mogappair Shelter,13.0830,80.1685
Thirumangalam Shelter,13.0855,80.2010
Retteri Shelter,13.1320,80.2205
Peravallur Shelter,13.1190,80.2320
Sembium Shelter,13.1185,80.2450
Kodungaiyur Shelter,13.1360,80.2550
Ernavur Shelter,13.2050,80.3100
Ennore Shelter,13.2165,80.3200
Kathivakkam Shelter,13.2160,80.3170
Minjur Shelter,13.2790,80.2600
Ponneri Shelter,13.3380,80.1940
Gummidipoondi Shelter,13.4070,80.1080
